Max,Mean,Test_Time,stage1,BK
-5.026095748686286,-5.9346042962529495,1.76967453956604,23.518069744110107,"[[-0.03334976 -0.0518631 ]
 [ 0.51115419  0.45465356]
 [ 0.44941728  0.51637402]
 [ 0.74917907 -0.6727649 ]
 [-0.67650397  0.75368935]]"
-6.313693239395049,-7.117066975421129,2.4205234050750732,23.518069744110107,"[[-1.09004563e-02 -1.71785460e-02]
 [ 4.83975609e-01  4.62777511e-01]
 [ 4.57153385e-01  4.89347841e-01]
 [ 7.39501722e-01 -6.99673018e-01]
 [-6.98865795e-01  7.40606157e-01]
 [ 2.35517798e-03 -9.44097752e-03]
 [ 1.57651529e-03  4.26877908e-03]
 [ 3.30115481e-01 -3.00480109e-01]
 [-3.36671384e-01  3.33900221e-01]
 [-7.66972086e-03  7.52846684e-04]
 [ 3.38884468e-01 -3.41114953e-01]
 [-3.01123191e-01  3.30132616e-01]
 [-3.15080592e-01  3.17435525e-01]
 [ 1.87996507e-04  3.22307829e-03]
 [ 3.16549823e-01 -3.14568061e-01]]"
-7.345495987587926,-8.218771840312469,4.127958297729492,23.518069744110107,"[[-0.0040609  -0.01163384]
 [ 0.47532148  0.46431982]
 [ 0.4593902   0.48004605]
 [ 0.73194061 -0.7024457 ]
 [-0.70820925  0.73804115]
 [ 0.01529406 -0.02567611]
 [-0.00741919  0.01207601]
 [ 0.0174305  -0.01913878]
 [ 0.01786377 -0.02697543]
 [-0.03149493  0.03117914]
 [-0.00785972  0.02027262]
 [-0.01851302  0.01640112]
 [-0.04139144  0.04153401]
 [ 0.05489473 -0.05342231]
 [ 0.63930512 -0.59258875]
 [-0.1761876   0.17617709]
 [ 0.08861808 -0.08671137]
 [-0.65607944  0.65016845]
 [ 0.10869737 -0.10862297]
 [-0.01155789  0.00169447]
 [ 0.01090325 -0.00636471]
 [ 0.02155387 -0.0211527 ]
 [-0.0290106   0.01942121]
 [ 0.69018177 -0.69588745]
 [-0.14013844  0.14125013]
 [-0.05675615  0.05629839]
 [-0.62332439  0.66918502]
 [ 0.17244503 -0.17102945]
 [-0.62875206  0.63266103]
 [ 0.10375049 -0.10402002]
 [ 0.29387776 -0.29614055]
 [-0.02283994  0.03061025]
 [-0.29761185  0.2971365 ]
 [ 0.66029721 -0.65616431]
 [-0.10056929  0.09949163]]"
-7.765346063709028,-8.472025490242475,8.432435035705566,23.518069744110107,"[[-1.68991005e-03 -5.40579495e-03]
 [ 4.72260346e-01  4.59999255e-01]
 [ 4.61967307e-01  4.70089228e-01]
 [ 7.28657830e-01 -7.09776552e-01]
 [-7.17460915e-01  7.39063456e-01]
 [-1.52751552e-02  8.39842316e-03]
 [ 2.46550816e-02 -1.62124314e-02]
 [-9.08344737e-03  6.34337353e-03]
 [ 2.15682599e-02 -2.14253877e-02]
 [ 2.99260094e-02 -2.56232287e-02]
 [-3.80638849e-02  4.11959546e-02]
 [-3.79859459e-02  3.71232902e-02]
 [-1.37082327e-02  1.48652695e-02]
 [-4.25657152e-02  4.06872782e-02]
 [ 4.39641832e-02 -4.62151007e-02]
 [-6.79372663e-02  5.13982812e-02]
 [-3.38862391e-02  3.30682359e-02]
 [ 8.31185167e-02 -8.60782612e-02]
 [ 5.44882264e-02 -6.67763627e-02]
 [-3.36625690e-02  3.78206116e-02]
 [ 6.53107149e-02 -5.21034531e-02]
 [-1.75119286e-02  1.00321938e-02]
 [ 5.32735354e-03 -4.64437819e-03]
 [ 1.24201667e-02 -1.10498121e-02]
 [ 1.27034437e-02 -1.31141263e-02]
 [-2.84103396e-02  2.80956995e-02]
 [ 3.92129978e-02 -3.64385719e-02]
 [ 6.67963843e-03 -9.76932473e-03]
 [ 2.00869102e-02 -9.94776196e-03]
 [-6.76087834e-02  6.72206628e-02]
 [ 1.08414306e+00 -1.03491235e+00]
 [-4.76716942e-01  4.76213260e-01]
 [ 7.84517986e-02 -7.77599160e-02]
 [ 1.00402589e-01 -1.02473567e-01]
 [ 4.95364681e-02 -3.54630868e-02]
 [-2.11926250e-01  2.11835077e-01]
 [-1.10950289e+00  1.11480589e+00]
 [ 4.84901857e-01 -4.94556544e-01]
 [ 1.18612557e-02 -1.11069657e-02]
 [-4.97356931e-02  4.37944907e-02]
 [ 3.33442483e-02 -2.38937825e-02]
 [-5.78023422e-03  3.12149059e-03]
 [-1.36880957e-02  1.52015495e-02]
 [ 2.33923399e-03  1.65883149e-03]
 [ 1.04911803e-01 -1.12862412e-01]
 [-3.66344538e-02  3.89888790e-02]
 [-8.23684116e-04 -1.72828484e-03]
 [-9.97763853e-02  8.06299563e-02]
 [ 3.70491218e-02 -3.69740097e-02]
 [ 9.07471827e-01 -9.00666070e-01]
 [-3.32445931e-01  3.21215582e-01]
 [-1.79389026e-03  4.22151176e-03]
 [ 1.98436305e-01 -2.01651114e-01]
 [-2.72809623e-01  2.88817723e-01]
 [-6.41435333e-02  6.39453583e-02]
 [-8.35091048e-01  8.81566804e-01]
 [ 5.52295922e-01 -5.53648650e-01]
 [-1.08152121e-01  1.08910229e-01]
 [-1.06581151e+00  1.08556271e+00]
 [ 3.68161531e-01 -3.77439795e-01]
 [-1.77382803e-02  1.94169374e-02]
 [-2.74259211e-01  2.72866128e-01]
 [ 8.14648278e-01 -8.08066658e-01]
 [ 4.57240424e-02 -4.48463900e-02]
 [ 1.84711095e-01 -1.92335276e-01]
 [-8.84306627e-01  8.75694379e-01]
 [ 2.28284430e-01 -2.26354337e-01]
 [ 9.12706003e-01 -8.94857744e-01]
 [-3.17170145e-01  3.13955534e-01]
 [ 2.14184373e-02 -2.16565703e-02]]"
-8.422177179139107,-9.112200596972084,17.192994117736816,23.518069744110107,"[[ 2.60129614e-02 -2.79859211e-03]
 [ 4.57092215e-01  4.23095119e-01]
 [ 4.60243626e-01  4.14866479e-01]
 [ 6.34540763e-01 -6.36157338e-01]
 [-7.35999720e-01  7.37165440e-01]
 [ 3.73879545e-02  1.93462927e-03]
 [ 3.28289044e-02 -4.89307967e-02]
 [-4.64972083e-02  5.03114823e-02]
 [ 7.04564743e-03 -7.15846537e-03]
 [-1.29964849e-02  1.17037125e-02]
 [ 2.26069120e-02 -2.21949252e-02]
 [-1.47922316e-03 -4.17283773e-03]
 [ 9.06355631e-02 -7.72532020e-02]
 [-2.45691176e-03 -6.05690863e-04]
 [-1.22427222e-02  1.43068689e-02]
 [-1.71606276e-02  1.41386234e-02]
 [-3.80778822e-02  3.82949420e-02]
 [-7.89967878e-03  7.90698961e-03]
 [-6.55504191e-03  7.93888980e-03]
 [ 7.12146739e-02 -5.16033340e-02]
 [-2.53019983e-02  2.79253477e-02]
 [-3.32412858e-02 -1.06928864e-02]
 [-5.52335252e-02  6.83533966e-02]
 [ 4.51173417e-03 -5.71905253e-03]
 [ 1.31682055e-02 -1.30277709e-02]
 [ 4.52489099e-02 -4.36402648e-02]
 [-3.78819639e-02  4.04760113e-02]
 [ 1.05618411e-02 -1.30477478e-02]
 [-4.11076650e-03  2.09637868e-05]
 [-3.19443790e-02  3.94614792e-02]
 [-1.43531564e-02  1.52090758e-02]
 [ 9.04275770e-02 -1.09402801e-01]
 [-6.19787599e-02  6.07202512e-02]
 [ 1.97282380e-03 -1.23113887e-03]
 [ 3.06523186e-03 -1.70312937e-03]
 [ 1.16820068e-01 -1.15256677e-01]
 [-1.13146042e-02  8.92729205e-03]
 [-2.74997567e-01  2.40995552e-01]
 [ 9.27068550e-02 -9.21765157e-02]
 [ 1.02093316e-02 -1.26293246e-02]
 [ 7.11373147e-02  8.28022984e-03]
 [-9.44914766e-02  6.37837082e-02]
 [ 2.50026860e-02 -2.10069556e-02]
 [ 4.76568312e-03 -4.94794498e-03]
 [-5.79612968e-02  5.52327964e-02]
 [-8.12015906e-03  1.03228022e-02]
 [ 4.81866954e-02 -3.12416210e-02]
 [ 5.77754907e-02 -6.04119855e-02]
 [-1.78891564e-02  1.34682405e-02]
 [ 1.14381120e-01 -1.17017352e-01]
 [-4.18909911e-02  4.05327720e-02]
 [ 2.10800649e-01 -2.41310682e-01]
 [-2.66181877e-01  2.70859233e-01]
 [ 5.48735289e-02 -5.34813979e-02]
 [ 6.39330544e-02 -6.25004777e-02]
 [-5.51323936e-02  6.94534491e-02]
 [-8.35572996e-03  9.01911104e-03]
 [-1.22414786e-01  1.08594168e-01]
 [ 1.43623214e-01 -1.40829554e-01]
 [-5.19072987e-02  5.10181535e-02]
 [ 6.39034090e-01 -5.65566905e-01]
 [-1.69283210e-01  1.68760903e-01]
 [-5.93021164e-03  6.84871446e-03]
 [ 2.47300158e-02 -2.56305816e-02]
 [-2.20799914e-02  2.21440714e-02]
 [ 5.51655008e-02 -5.82293967e-02]
 [-3.17990556e-02  3.10684582e-02]
 [ 1.25403516e-01 -1.33653530e-01]
 [-1.45138521e-01  1.48274711e-01]
 [ 1.07773927e-02 -1.00095165e-02]
 [-7.13277470e-01  7.41577212e-01]
 [ 2.92941485e-01 -2.99734566e-01]
 [-7.82285681e-02  8.15788776e-02]
 [ 3.43282118e-02 -3.40046498e-02]
 [-1.60352869e-01  1.90436170e-01]
 [ 1.77248134e-01 -1.81733366e-01]
 [-1.98628058e-02  1.96303720e-02]
 [ 3.15859387e-03 -3.08025324e-03]
 [ 1.48122120e-02 -1.82753757e-02]
 [-1.38807376e-02  1.44383509e-02]
 [-1.57504844e-01  1.77528713e-01]
 [ 5.09394597e-02 -5.19831399e-02]
 [ 5.95078128e-02 -5.96224240e-02]
 [-1.03858186e-01  1.05463740e-01]
 [ 3.83263376e-02 -3.90136339e-02]
 [-3.26867370e-02 -1.88319788e-02]
 [ 3.07106714e-01 -2.97672865e-01]
 [-1.58825310e-01  1.58216918e-01]
 [-8.15784513e-02  8.03782373e-02]
 [-8.19854076e-04  4.99844029e-03]
 [-2.63168459e-02  2.74679582e-02]
 [ 2.48641928e-02 -4.66919040e-02]
 [ 2.27351797e-02 -2.03573068e-02]
 [ 4.46524228e-03 -4.60902807e-03]
 [ 8.52910163e-01 -7.92014926e-01]
 [-9.03743143e-02  6.84841437e-02]
 [-3.17641849e-01  3.22235550e-01]
 [ 1.20993124e-01 -1.21901261e-01]
 [ 7.48104779e-02 -7.60182868e-02]
 [ 1.77893856e-01 -1.70634327e-01]
 [-3.23500558e-03  1.56266919e-03]
 [-3.82963027e-01  3.64673430e-01]
 [ 7.21831107e-02 -7.09423503e-02]
 [-2.83894451e-02  2.80158472e-02]
 [-5.66512162e-01  6.45495178e-01]
 [ 8.24185956e-02 -9.35846425e-02]
 [ 1.27279293e-01 -1.22683772e-01]
 [-4.88087509e-02  4.82096596e-02]
 [-5.62468409e-01  5.72274316e-01]
 [-1.17572510e-01  1.18623266e-01]
 [ 1.96169693e-01 -1.97487534e-01]
 [-5.27200726e-02  5.31197071e-02]
 [-9.09505068e-02  9.23900436e-02]
 [ 1.60689249e-01 -1.66421252e-01]
 [-4.71301519e-02  4.79704291e-02]
 [ 3.39052542e-01 -3.34108301e-01]
 [-3.38748472e-02  3.26127888e-02]
 [ 5.30310882e-02 -5.22958216e-02]
 [ 2.01728606e-02 -5.71864504e-03]
 [-2.63412235e-01  2.62726422e-01]
 [-1.90205189e-01  1.87921995e-01]
 [ 9.60822816e-02 -9.58193986e-02]
 [ 7.02012698e-01 -6.81978606e-01]
 [-4.57557436e-02  3.63737988e-02]
 [-6.77787370e-02  7.03793904e-02]
 [ 3.25036663e-03 -3.74824060e-03]]"
