Polynomial Degree,Mean Error,Max Error,Total Time,Method
1,-4.189617995552982,-3.3677474914381818,22.045085668563843,Unnormalised LS-SVD
2,-4.163727171457158,-3.058197793265058,26.956951379776,Unnormalised LS-SVD
3,-4.067163030633532,-2.601826826845826,38.35347890853882,Unnormalised LS-SVD
4,-3.8413268364791455,-2.3152047743759,45.139731884002686,Unnormalised LS-SVD
5,0.0,0.0,0.0,Unnormalised LS-SVD
1,-4.189617995553234,-3.3677474914366075,21.03970241546631,Normalised LS-SVD
2,-4.163727171474589,-3.058197793267649,25.65037226676941,Normalised LS-SVD
3,-4.067163030175795,-2.601826826867685,37.88864779472351,Normalised LS-SVD
4,-3.8413269073307528,-2.315202886546393,46.95690703392029,Normalised LS-SVD
5,-3.7759352499346255,-2.0804307832838305,67.3887631893158,Normalised LS-SVD
1,-4.189617995551358,-3.3677474914404306,22.959567308425903,Hermite LS-SVD
2,-4.163727171472975,-3.058197793265554,31.6194109916687,Hermite LS-SVD
3,-4.067163030171863,-2.601826826866297,48.55013942718506,Hermite LS-SVD
4,-3.841326907303114,-2.3152028864771292,63.23187708854675,Hermite LS-SVD
5,-3.7759352475460846,-2.0804307821098527,88.35269927978516,Hermite LS-SVD
1,-4.189617995553234,-3.3677474914366075,21.870558261871338,Smaller Regulation RLS
2,-4.163727171474589,-3.058197793267649,26.453267097473145,Smaller Regulation RLS
3,-4.067163030175795,-2.601826826867685,37.034008264541626,Smaller Regulation RLS
4,-3.8413269073307528,-2.315202886546393,47.38632678985596,Smaller Regulation RLS
5,-3.7759352499346255,-2.0804307832838305,64.83367109298706,Smaller Regulation RLS
1,-4.189617995553234,-3.3677474914366075,22.49584460258484,Larger Regulation RLS-TSVD
2,-4.163727171474589,-3.058197793267649,26.856181144714355,Larger Regulation RLS-TSVD
3,-4.067163030175795,-2.601826826867685,37.238420724868774,Larger Regulation RLS-TSVD
4,-3.847926298211266,-2.32723090755347,47.974716663360596,Larger Regulation RLS-TSVD
5,-3.8326739977517326,-2.281302104265773,60.34163784980774,Larger Regulation RLS-TSVD
