Polynomial Degree,Mean Error,Max Error,Total Time,Number of countries
1,-5.9346042962529495,-5.026095748686286,94.49633979797363,2
2,-7.117066975421129,-6.313693239395049,408.9516623020172,2
3,-8.218771840312469,-7.345495987587926,719.2963309288025,2
4,-8.472025490242475,-7.765346063709028,1308.4278705120087,2
5,-9.112200596972084,-8.422177179139107,4628.523944616318,2
