Polynomial Degree,Mean Error,Max Error,Total Time,Number of countries
1,-6.395895343635726,-5.696925339347698,9.909534931182861,1
2,-6.803108401922803,-6.104138397709348,15.285191059112549,1
3,-8.674443264040322,-7.975473268818068,18.531440258026123,1
4,-10.20478329313847,-9.50581359785902,23.463322401046753,1
5,-10.661310325072584,-9.962341204966675,20.371525764465332,1
