Polynomial Degree,Mean Error,Max Error,Total Time,Method
1,-4.189617995552982,-3.3677474914381818,17.99991774559021,Unnormalised LS-SVD
2,-4.163727171457158,-3.058197793265058,21.983267307281494,Unnormalised LS-SVD
3,-4.067163030633532,-2.601826826845826,30.86752676963806,Unnormalised LS-SVD
4,-3.8413268364791455,-2.3152047743759,36.07359480857849,Unnormalised LS-SVD
5,0.0,0.0,0.0,Unnormalised LS-SVD
1,-4.189617995553234,-3.3677474914366075,17.925999641418457,Normalised LS-SVD
2,-4.163727171474589,-3.058197793267649,21.89638113975525,Normalised LS-SVD
3,-4.067163030175795,-2.601826826867685,34.496687173843384,Normalised LS-SVD
4,-3.8413269073307528,-2.315202886546393,41.981672286987305,Normalised LS-SVD
5,-3.7759352499346255,-2.0804307832838305,57.33461833000183,Normalised LS-SVD
1,-4.189617995551358,-3.3677474914404306,19.391079902648926,Hermite LS-SVD
2,-4.163727171472975,-3.058197793265554,26.816263437271118,Hermite LS-SVD
3,-4.067163030171863,-2.601826826866297,40.97133708000183,Hermite LS-SVD
4,-3.841326907303114,-2.3152028864771292,53.08298587799072,Hermite LS-SVD
5,-3.7759352475460846,-2.0804307821098527,74.4558334350586,Hermite LS-SVD
1,-4.189617995553234,-3.3677474914366075,17.675615310668945,Smaller Regulation RLS-TSVD
2,-4.163727171474589,-3.058197793267649,21.778642416000366,Smaller Regulation RLS-TSVD
3,-4.067163030175795,-2.601826826867685,31.953433752059937,Smaller Regulation RLS-TSVD
4,-3.8413269073307528,-2.315202886546393,42.21100425720215,Smaller Regulation RLS-TSVD
5,-3.7759352499346255,-2.0804307832838305,57.00743842124939,Smaller Regulation RLS-TSVD
1,-4.189617995553234,-3.3677474914366075,17.882140398025513,Larger Regulation RLS-TSVD
2,-4.163727171474589,-3.058197793267649,21.87546133995056,Larger Regulation RLS-TSVD
3,-4.067163030175795,-2.601826826867685,31.03796124458313,Larger Regulation RLS-TSVD
4,-4.069114519564906,-2.5962250894506522,39.975061655044556,Larger Regulation RLS-TSVD
5,-4.070702819882616,-2.5904511365232428,51.61693096160889,Larger Regulation RLS-TSVD
