Polynomial Degree,Mean Error,Max Error,Total Time,Method
1,-4.189617995480645,-3.367747491402649,17.59791088104248,Unnormalised OLS
2,-4.163727082953374,-3.058197779583916,22.282386779785156,Unnormalised OLS
3,0.0,0.0,15.7767813205719,Unnormalised OLS
4,0.0,0.0,15.7767813205719,Unnormalised OLS
5,0.0,0.0,15.7767813205719,Unnormalised OLS
1,-4.189617995552673,-3.367747491439081,18.911500215530396,Normalised OLS
2,-4.163727171461935,-3.058197793259104,22.8569176197052,Normalised OLS
3,-4.067163026404414,-2.6018268314551887,32.586857318878174,Normalised OLS
4,0.0,0.0,17.227967500686646,Normalised OLS
5,0.0,0.0,17.227967500686646,Normalised OLS
1,-4.18961799555256,-3.3677474914355954,20.942002296447754,Hermite OLS
2,-4.163727171474768,-3.058197793268752,28.27337408065796,Hermite OLS
3,-4.067163030173225,-2.601826826867068,43.10174870491028,Hermite OLS
4,-3.841326907307596,-2.315202886486534,55.33204913139343,Hermite OLS
5,-3.775935247527159,-2.080430782106922,76.8524980545044,Hermite OLS
1,-2.6111850762998614,-1.979367362836239,137.87083077430725,Smaller Regulation RLS-Tikhonov
2,-2.240197084727361,-1.807081371562383,265.5419497489929,Smaller Regulation RLS-Tikhonov
3,-2.1988894587838397,-1.793083599760304,451.88219690322876,Smaller Regulation RLS-Tikhonov
4,-2.194938722351419,-1.7917078735973109,692.6217823028564,Smaller Regulation RLS-Tikhonov
5,-2.1945450273919045,-1.791570495211258,1426.4441547393799,Smaller Regulation RLS-Tikhonov
1,-2.6101461971114777,-1.9853523094947423,245.60833406448364,Larger Regulation RLS-Tikhonov
2,-2.2061369721340167,-1.8302333422255004,323.434579372406,Larger Regulation RLS-Tikhonov
3,-2.1688501038860992,-1.8114913279019358,450.98004722595215,Larger Regulation RLS-Tikhonov
4,-2.165268153926579,-1.8096610830518602,785.7279582023621,Larger Regulation RLS-Tikhonov
5,-2.164910896704659,-1.8094785059571004,1071.953171491623,Larger Regulation RLS-Tikhonov
